No,family,name,formula,molar_mass,density,viscosity,comb_enthalpy,TSI,Tr,Compound_Class,CN,beta_i,specific_energy,CHRatio,Tboil,Tcrit,Pcrit,Omega
32,Naphthene,n-Ethyl-Cyclohexane,cyC8H16,112.21,788.0,1.353,-5223.0,4.6,0.416,Hydrocarbons,35.0,0.0727,-46.59,0.5,405.0,609.0,30.0,0.243
33,Naphthene,n-Propyl-Cyclohexane,cyC9H18,126.24,793.0,1.6954,-5719.0,4.3,0.396,Hydrocarbons,40.0,0.0727,-45.29,0.5,429.9,639.0,27.7,0.258
34,Naphthene,n-Butyl-Cyclohexane,cyC10H20,140.26,818.0,2.3714,-6577.0,0.0,0.38,Hydrocarbons,60.0,0.0727,-46.93,0.5,454.1,621.0,27.2,0.372
35,Naphthene,n-Pentyl-Cyclohexane,cyC11H22,154.29,803.0,3.5071,-7238.0,0.0,0.378,Hydrocarbons,60.0,0.0727,-46.91,0.5,476.85,665.19,23.36,0.329
36,Naphthene,n-Hexyl-Cyclohexane,cyC12H24,168.32,807.6,4.2296,-7900.0,0.0,0.373,Hydrocarbons,62.0,0.0727,-46.97,0.5,497.93,679.0,19.2,0.515
37,Naphthene,n-Heptyl-Cyclohexane,cyC13H26,182.34,810.9,5.3586,-8553.0,0.0,0.365,Hydrocarbons,75.0,0.0727,-46.87,0.5,497.85,693.6,21.38,0.476
38,Aromatic,Benzene,C6H6,78.11,885.0,0.17,-3273.0,31.0,0.45,Hydrocarbons,10.0,3.1967,-41.91,1.0,353.24,562.05,48.95,0.21
39,Aromatic,Toluene,C7H8,92.14,867.0,0.008,-3920.0,50.0,0.428,Hydrocarbons,5.0,3.1967,-42.61,0.875,383.79,591.75,41.08,0.264
40,Aromatic,Ethyl-Benzene,C8H10,106.16,867.0,0.007,-4567.0,59.0,0.41,Hydrocarbons,7.0,3.1967,-43.01,0.8,409.36,617.15,36.09,0.304
41,Aromatic,m-Xylene,C8H10,106.16,864.0,0.231,-4549.0,51.0,0.41,Hydrocarbons,7.0,3.1967,-42.88,0.8,412.34,617.0,35.41,0.327
42,Aromatic,Propyl-Benzene,C9H12,120.19,862.0,0.007,-5218.0,47.0,0.397,Hydrocarbons,7.0,3.1967,-43.42,0.75,432.35,638.35,32.0,0.345
43,Aromatic,1.2.4-Tri-Methyl-Benzene,C9H12,120.19,880.0,0.283,-5195.0,47.0,0.39,Hydrocarbons,7.0,3.1967,-43.35,0.75,442.6,649.1,32.32,0.377
44,Aromatic,Tetralin,C10H12,132.2,973.0,0.056,-5622.0,56.0,0.352,Hydrocarbons,6.0,3.1967,-42.58,0.833,480.75,720.0,36.5,0.303
45,Aromatic,1-Methyl-Naphthalene,C11H10,142.2,990.0,0.045,-5814.0,89.0,0.328,Hydrocarbons,20.0,3.1967,-40.92,1.111,517.84,772.0,36.0,0.348
46,Oxygenate,Ethanol, C2H60,46.07,789.45,1.45,-1370.7,0.0,0.0,Hydrocarbons,5.0,0.0,-27.0,0.333,78.37,513.92,61.48,0.649
47,,1-Hexene,C6H12,,,,,,,,,,,,336.34,504.00,31.43,0.281
